"","State","YEAR","","JAN","","FEB","","MAR","","APR","","MAY","","JUN","","JUL","","AUG","","SEP","","OCT","","NOV","","DEC",""
"","Andaman & Nico","1953","","56","","65.3","","20.1","","159.4","","241.1","","549.9","","444.4","","262.8","","370.1","","243.6","","246","","63.3",""
"","Andaman & Nico","1954","","83.8","","2.1","","34.3","","58","","394.7","","539.4","","510.8","","605.4","","763.8","","247.2","","84.8","","124.7",""
"","Andaman & Nico","1955","","57.3","","28.2","","9.9","","68.8","","663.6","","651.1","","298.4","","356.9","","341.8","","466.5","","362.9","","44.2",""
"","Andaman & Nico","1956","","49.2","","77.2","","33.8","","130.3","","491.8","","343.1","","468.4","","467.7","","325.1","","458.7","","164.1","","70.5",""
"","Andaman & Nico","1957","","28","","19.3","","4.6","","19","","142.4","","741.9","","316.2","","421.3","","354.3","","299.7","","88.6","","71.9",""
"","Andaman & Nico","1958","","22.9","","14.3","","30.4","","24.6","","355.1","","530.7","","440.7","","388.4","","350.6","","265.2","","313.8","","70.7",""
"","Andaman & Nico","1959","","10.1","","1.8","","31.3","","86.7","","238.1","","455.7","","817.1","","409.3","","589.6","","332.7","","242.5","","128.5",""
"","Andaman & Nico","1960","","104.2","","72.4","","12.1","","53.5","","535.4","","541.5","","308.4","","270.7","","442.4","","400","","191.7","","92.8",""
"","Andaman & Nico","1961","","82.1","","99.4","","33.2","","88.1","","973.1","","383.3","","304.9","","557.1","","612","","379.9","","280.6","","144.5",""
"","Andaman & Nico","1962","","152.4","","14.9","","17.3","","46.4","","310.4","","367.7","","409.1","","420.6","","474.5","","259.8","","101.7","","384.9",""
"","Andaman & Nico","1963","","79.9","","26.8","","7.4","","69.5","","259.9","","434.7","","303.3","","601.2","","614.3","","295.5","","109.3","","179.9",""
"","Andaman & Nico","1964","","65.5","","21.9","","3.1","","18.1","","530.6","","465.3","","287.3","","472.1","","521.2","","218.9","","349.2","","101.6",""
"","Andaman & Nico","1965","","11.8","","30.4","","25.3","","51","","292.3","","408.8","","392.1","","396.6","","576.8","","290.5","","187.9","","500.4",""
"","Andaman & Nico","1966","","79.8","","4.2","","12","","38.7","","376.9","","148.8","","433.5","","335.6","","454.1","","171.9","","333.8","","311.9",""
"","Andaman & Nico","1967","","164.6","","21.6","","30","","63.4","","516.4","","340.8","","537.8","","614.3","","303.5","","427.5","","99.7","","97",""
"","Andaman & Nico","1968","","22.1","","1.3","","4.2","","81.5","","297.6","","545.2","","519.3","","242","","496.8","","281.6","","152","","119.2",""
"","Andaman & Nico","1969","","106.3","","64.7","","14.6","","20.8","","317.3","","422.8","","345.2","","281.4","","489.8","","146.8","","343.7","","65.8",""
"","Andaman & Nico","1970","","72.2","","34","","7.8","","58.2","","422.7","","407.3","","564.6","","342.9","","423.5","","386.6","","418.4","","232.7",""
"","Andaman & Nico","1971","","41.5","","32.8","","37.7","","35.3","","398","","394.6","","421.1","","327.9","","470.2","","505.3","","178.4","","155.9",""
"","Andaman & Nico","1972","","13.7","","1.7","","7.5","","178.3","","420.2","","470","","544.6","","384.9","","444.5","","263.8","","413.9","","180",""
"","Andaman & Nico","1973","","18.1","","20.3","","30.5","","29.6","","418.6","","488.6","","371.4","","370.3","","357.5","","247.2","","349.8","","289.1",""
"","Andaman & Nico","1974","","22.2","","43.9","","17.2","","301.4","","353.3","","343.8","","257.1","","456.2","","321.6","","398.4","","372.2","","74.8",""
"","Andaman & Nico","1975","","276.9","","27.5","","8","","24.2","","362.9","","706.3","","173.6","","357.4","","351.8","","373.6","","323.7","","99.7",""
"","Andaman & Nico","1976","","20.9","","9.7","","0.6","","161.6","","551.4","","441.4","","382.1","","487.7","","387","","166.8","","307.2","","359.6",""
"","Andaman & Nico","1977","","79.7","","43.2","","6.1","","6.9","","275.3","","339.3","","341.1","","345.5","","467.1","","263.6","","153.3","","67.1",""
"","Andaman & Nico","1978","","109.6","","29.3","","18.9","","63.4","","343.6","","462.2","","656.6","","346.3","","310.8","","243.7","","83.4","","44.6",""
"","Andaman & Nico","1979","","35.5","","9.4","","3.9","","64.8","","146.3","","282.8","","455.9","","173.6","","330.2","","163.5","","169.8","","13.6",""
"","Andaman & Nico","1980","","5.5","","0.8","","9.2","","38.8","","728.4","","604.2","","575.7","","494.4","","271.9","","252","","143.7","","500.7",""
"","Andaman & Nico","1981","","11.1","","27.8","","1.7","","94.1","","270.8","","600.6","","344.1","","510.7","","452.6","","242.1","","348.4","","170.7",""
"","Andaman & Nico","1982","","8.8","","2.8","","6.6","","97.5","","229.2","","448.7","","410.5","","347.6","","369","","164.5","","238.8","","60.5",""
"","Andaman & Nico","1983","","22.1","","0","","3.1","","9.1","","240.8","","424.3","","468.9","","493.8","","505.5","","275.8","","261","","88.1",""
"","Andaman & Nico","1984","","69.4","","173.8","","26.3","","156.6","","162.3","","424.9","","446.4","","125.8","","283.6","","347.1","","158.9","","445.2",""
"","Andaman & Nico","1985","","12","","19.2","","24.1","","55","","278.1","","588.4","","230.9","","375.2","","362.5","","358.9","","232.1","","94.4",""
"","Andaman & Nico","1986","","14.8","","0.6","","1.5","","8.2","","302.6","","312.2","","308.5","","444","","408.9","","176.1","","163.5","","47",""
"","Andaman & Nico","1987","","72.4","","35.2","","20.4","","17.7","","162.9","","343.7","","45.3","","666.5","","378.9","","373.4","","313.4","","334.1",""
"","Andaman & Nico","1988","","10.2","","39.9","","28","","82.7","","427.5","","357.4","","495.6","","354.2","","603.3","","271.4","","583","","69.9",""
"","Andaman & Nico","1989","","56","","12.8","","68.1","","42.6","","379.3","","414.9","","380.1","","413.2","","215.9","","291.8","","255","","4",""
"","Andaman & Nico","1990","","13.4","","0.2","","24.6","","87.5","","424.6","","291","","213.2","","293.3","","310.4","","133.6","","291.1","","100.3",""
"","Andaman & Nico","1991","","14.1","","3.8","","28","","132.9","","191.3","","165.7","","547.2","","486.5","","489.9","","287.6","","130.1","","58.5",""
"","Andaman & Nico","1992","","75.9","","10.9","","0","","5.1","","241.7","","392","","348.2","","372.3","","323.7","","257.3","","64.3","","7.2",""
"","Andaman & Nico","1993","","14.9","","0","","129.9","","43.7","","181.4","","257.1","","391.7","","226.7","","437","","299.3","","189","","66.7",""
"","Andaman & Nico","1994","","7.2","","35.5","","129.4","","154.6","","403.2","","386.3","","569.7","","460.5","","775.1","","137.5","","180.3","","23.8",""
"","Andaman & Nico","1995","","51.8","","12.5","","12.1","","21.1","","314.8","","450.4","","501.4","","555.8","","426.4","","294.7","","452.9","","21.6",""
"","Andaman & Nico","1996","","52.2","","4.8","","3.4","","122.7","","298","","559.2","","335.5","","328","","541.6","","318.5","","254.2","","178.8",""
"","Andaman & Nico","1997","","9.5","","0","","0.2","","15.6","","281.1","","199.5","","918.5","","430.6","","440.2","","128.7","","292.8","","38.4",""
"","Andaman & Nico","1998","","0.9","","0","","0","","0","","348.9","","600","","364.5","","258.9","","337.8","","618.6","","227.8","","89",""
"","Andaman & Nico","1999","","46.8","","44.6","","14.2","","270.6","","257.4","","295","","408.5","","329.2","","325.3","","437.5","","124.9","","145.7",""
